"ID","Title","Description","Comments","Resolution","Component","Severity","Priority","Status","Created","ReleaseVersion"
"BUG-1001","Payment fails for Visa cards issued in Europe","Users with Visa cards issued by European banks see 'Transaction declined' on checkout. Reproduces 100% on staging with test card 4000-0000-0000-3220.","Investigated by Priya: gateway returns error code 51 for these BINs. Issue is on Stripe radar rules. Mihir confirmed our radar config blocks high-risk regions too aggressively.","Updated Stripe Radar rules to allowlist verified EU BINs. Added integration test covering EU card scenarios.","Payments","High","High","Closed","2024-03-12","v2.1.0"
"BUG-1002","PayPal redirect returns to wrong page after checkout","After completing PayPal checkout users are redirected to /home instead of /order/confirmation. Order is created correctly but user thinks payment failed and retries.","Root cause: return_url was set to '/' due to env var fallback. Confirmed in staging logs.","Fixed env var PAYPAL_RETURN_URL in all environments. Added smoke test that verifies redirect target.","Payments","High","High","Closed","2024-04-02","v2.2.0"
"BUG-1003","Currency conversion shows wrong total on international orders","Cart total in INR displays 86.5x USD value but checkout charges based on a stale rate from previous day. Customers complaining about being overcharged by ~2%.","Exchange rate cache TTL was 24h. Should be 1h max. Also discovered we were not invalidating on rate updates from forex API webhook.","Reduced cache TTL to 1 hour and wired up webhook invalidation. Added monitoring alert if displayed rate differs from charged rate by >0.5%.","Payments","High","High","Closed","2024-05-18","v2.2.0"
"BUG-1004","Credit card 3D Secure flow times out on slow networks","3DS verification iframe loads but never returns control to checkout page. Users on 3G/spotty wifi see infinite spinner. Happens ~5% of mobile checkouts.","Confirmed iframe postMessage was being blocked by our CSP frame-ancestors directive after the redirect. Only manifests when 3DS challenge takes >8s.","Updated CSP to allowlist 3DS provider domains. Added timeout fallback that shows manual continue button after 15s.","Payments","Medium","Medium","Closed","2024-07-09","v2.3.0"
"BUG-1010","Users cannot log in via SSO when their company email changes","After IT changes a user's email via Azure AD, SSO login fails with 'user not found' even though the user exists with the new email.","We were keying users on email instead of SSO subject ID. Classic mistake. Found 47 affected users in last 6 months by querying audit logs.","Migrated user lookup to use SSO 'sub' claim. Added a one-time migration for affected users. Documented the lookup contract.","Auth","High","High","Closed","2024-02-20","v2.1.0"
"BUG-1011","Login button unresponsive on Safari 15 and earlier","Click handler on the login button does nothing on Safari 15. Works fine on Safari 16+ and all other browsers. About 3% of our users still on Safari 15.","Issue traced to optional chaining in a vendored polyfill that Safari 15 doesn't fully support in that context. The button was never bound.","Added a Babel transform target for Safari 15. Removed the problematic optional chain.","Auth","Medium","Medium","Closed","2024-06-11","v2.2.0"
"BUG-1012","Session expires too quickly on mobile web","Users on mobile browsers get logged out after ~10 minutes of inactivity even though session TTL is 24h. Desktop is unaffected.","Cookie SameSite=Strict combined with how Safari handles cross-site context on iframe-embedded pages caused cookie to be dropped. Confirmed via cookie inspection on real device.","Switched session cookie to SameSite=Lax. Added e2e test simulating mobile context.","Auth","Medium","Medium","Closed","2024-08-14","v2.3.0"
"BUG-1013","Password reset email never arrives for Gmail users","Some Gmail recipients never receive password reset emails. SendGrid says delivered but Gmail bounce report shows soft rejection due to SPF misalignment.","Our SPF record was missing the new sending IP added during SendGrid migration. Anything from that IP got soft-rejected.","Updated SPF record to include all SendGrid IP ranges. Set up DMARC reporting to catch this earlier next time.","Auth","High","High","Closed","2024-09-03","v2.3.0"
"BUG-1020","Worker service memory leak when processing PDF attachments","Memory usage of worker pods climbs from 200MB to 4GB over ~6 hours then OOMs. Correlates with PDF processing volume. Started after we shipped PDF preview generation.","Leak isolated to pdf-lib library: we were creating Document instances per request but not explicitly disposing. Confirmed via heap dump diff.","Wrapped PDF processing in try/finally with explicit doc.unload(). Added pod memory alert at 80%. Switched to streaming approach for files >10MB.","Backend","Critical","Blocker","Closed","2024-01-15","v2.1.0"
"BUG-1021","API response times degrade after 3 hours of uptime","P99 latency on /api/search climbs from 200ms to 2s+ after pods have been running ~3 hours. Restart fixes it temporarily.","Found a Redis connection pool that was leaking sockets due to missed pool.release() in error path. Sockets piled up in TIME_WAIT.","Added pool.release in finally block. Reviewed all other Redis usages for similar pattern. Added connection pool size monitoring.","Backend","High","High","Closed","2024-03-28","v2.1.0"
"BUG-1022","Background job queue grows unbounded during high load","During Monday morning traffic spikes the job queue grows from baseline ~50 to 20k+ and never recovers without manual intervention.","Worker count was static at 4 regardless of load. Also discovered one job type was taking 30s due to a missing DB index on jobs.created_at.","Added autoscaling based on queue depth. Added the missing index. Set up SLO alert if queue depth exceeds threshold for >5min.","Backend","High","High","Closed","2024-04-22","v2.2.0"
"BUG-1023","Dashboard widgets slow to load when account has >1000 items","Customer with ~3000 items reports dashboard takes 25s to load. Profiling shows N+1 queries on widget data fetch.","Standard N+1 issue: each widget was firing its own query per item instead of batching. ~3000 queries per page load.","Refactored to single batched query per widget. Added query count assertion in tests. Page now loads in 1.2s for the same account.","Performance","Medium","Medium","Closed","2024-05-30","v2.2.0"
"BUG-1030","CSV export missing last row of data","Exporting reports as CSV consistently drops the final row. Discovered by finance team during month-end reconciliation.","Off-by-one in our stream-to-csv writer. We were flushing the writer one row early because of a flawed end-of-iterator check.","Fixed the iterator loop. Added a test that exports exactly N rows and asserts the count.","Reports","Medium","Medium","Closed","2024-02-08","v2.1.0"
"BUG-1031","Excel export corrupts Unicode characters in names","Names with non-ASCII characters (Hindi, Chinese, accented Latin) show up as garbled in Excel even though CSV opens fine.","Excel expects UTF-8 BOM to autodetect encoding. We were emitting UTF-8 without BOM.","Added BOM prefix to .xlsx exports. Documented this in our export module README so the next dev doesn't repeat it.","Reports","Low","Low","Closed","2024-06-04","v2.2.0"
